image_id,image_path,raw_class,canonical_class,dataset,width,height,channels,file_size,file_hash,dhash,is_valid_image,usage,training_allowed,validation_allowed,calibration_allowed,threshold_optimization_allowed
IMG20241103120555,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120555.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,5450,977444a74c9c42575c4695ead68185e16a46e05fdae588ef65f501fcbab1f817,c00007423c0c8080,True,external_field_test_only,False,False,False,False
IMG20241103120555_01,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120555_01.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,5581,bec90cd0a96d3bfc7478e4899d6d9dbd8f440d6851332b359e581f7aa47c9b89,808007623c0880c0,True,external_field_test_only,False,False,False,False
IMG20241103120556,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120556.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,5530,ff2faebc32724d0b18732602b9ed9b9dbe8603579da8f680ac4b4b2cfe89da6a,800007423c0880c0,True,external_field_test_only,False,False,False,False
IMG20241103120607,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120607.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,4594,003c580528116860da7156b2281f8f5f996c9815c7c6df886235b75bbee2fc6f,80006007030080c0,True,external_field_test_only,False,False,False,False
IMG20241103120608,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120608.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,4649,1c181aa60a2434598bc8c3d396d12eb949022c32492f3dce4d07cb9d463da3e6,80006027030080c0,True,external_field_test_only,False,False,False,False
IMG20241103120618,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120618.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,5420,31d86162fddac7cbbf95702dc19fb33a95c8781c244afec7edef6f301c90a937,80081c0001098080,True,external_field_test_only,False,False,False,False
IMG20241103120619,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120619.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,5416,f4a60672f744cf444da8948f6f92e3d8bd0e8a06b14634d32a7a6f79ab9a0b6b,800c1c0001018080,True,external_field_test_only,False,False,False,False
IMG20241103120624,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120624.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,7982,3a9fdc04f7d72e6661eafa6fb582e8cb225fb4f4268dd1ff66a551d6dbd78b88,f0601c0c030180c0,True,external_field_test_only,False,False,False,False
IMG20241103120624_01,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120624_01.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,7725,d4cbdf0a44cc65bfdafe6d6484df12e0f1fbfcc4edf8b8dca97ae5395532d4d7,f8603e1c070180c0,True,external_field_test_only,False,False,False,False
IMG20241103120625,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120625.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,7648,cb952ef5c1c8b6ec010901cc00a0ef740e9595b5cffec3580f34c23e7c8d8fc1,f8603c1c070180c0,True,external_field_test_only,False,False,False,False
IMG20241103120631,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120631.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,7032,b77d1cb8cc5d1b7bdc185126f3a0f091ffe3ec9c96eab3005c16fec85c9867c7,d00103020c192040,True,external_field_test_only,False,False,False,False
IMG20241103120632,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120632.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,6981,f9ceffe088ed01aa988bcb5e10c80a1203f9e7977e69e17cd3367b3f9971d57c,b00103060c1820c0,True,external_field_test_only,False,False,False,False
IMG20241103120640,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120640.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,5541,4b852ae5e140f7808bdedaec8f9bda58e6fb76f81ebabf0a2d06fe8643718403,80000001060680c0,True,external_field_test_only,False,False,False,False
IMG20241103120640_01,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120640_01.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,5355,08b058ff9fa31e200e3ed93595d2b303b2071331b968f7ad798a18f2ea51e8e8,8000004106068084,True,external_field_test_only,False,False,False,False
IMG20241103120653,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120653.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,6529,2de70be747e765f38a14638b818130d4594d8dee93e2f911ab673e308e1a0b77,80f83e3110428080,True,external_field_test_only,False,False,False,False
IMG20241103120701,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120701.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,5375,25fd345f39981c371ce0d3efcff539de2bd7ef589ac47b00da43d1f16046e24d,0000600003c70080,True,external_field_test_only,False,False,False,False
IMG20241103120715,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120715.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,5602,3585af22e91404b9755a148051b3b1fa170610c5396ac94af8b46fe496b4f74a,0000f08701c38080,True,external_field_test_only,False,False,False,False
IMG20241103120721,RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafDisease-BD5 A Field-Collected Five-Class I/RiceLeafBD/Blast/IMG20241103120721.jpg,Blast,Blast,RiceLeafDiseaseBD5,300,300,3,8173,1190b53a0ac1d2ffcbcbe79e2b09f8f96552a2b121fd1470c641a95fa10c1fc7,f0c060328c0340c0,True,external_field_test_only,False,False,False,False
