image_id,image_path,raw_class,canonical_class,dataset,width,height,channels,file_size,file_hash,dhash,is_valid_image,annotation_path,has_annotation,num_boxes,split,group_id
blast_1,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,317769,cf9158dc7f9240b849e7177f890a5fed047dd5a6052ce9ba85772bd741d24955,6a6d49171e239339,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1.txt,True,3,train,0
blast_10,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_10.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,310614,1ef210698efc902ad857c637021ad5d032d0e580e057827db47071fa7a7f299d,70a4c68400dacccc,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_10.txt,True,2,val,1
blast_100,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_100.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,454757,b77c77ba29af703a573444fb4111cc0e64d46f1645e4dd1407a12bdda400d3eb,b13535bc58702e7f,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_100.txt,True,1,train,2
blast_1000,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1000.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,311857,bc481984acd53620d010cfa50d7d3cad4ea87a49b4b8ed4266df0cf8ead2e2af,e5676465656565e5,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1000.txt,True,10,train,3
blast_1001,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1001.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,311536,712281a6d8a33058aed35715a6aef0d189883ea7f55a18b656bed9ba4fc43cbe,e56764656565e5c5,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1001.txt,True,7,train,4
blast_1002,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1002.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,383100,8e95d32bf1537ae17010b8eeb0b63668c27fb60503d3c63ad11a3aca9d8242e8,e72434b17171f1f1,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1002.txt,True,6,test,5
blast_1003,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1003.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,369389,42ac358e83fd4fc8c65ae3fe62b1ff26bba81f1d285a061d44545e9d6dcdbde3,4e275132f6044643,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1003.txt,True,6,test,6
blast_1004,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1004.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,451287,6392bca63a9022c73b3cef12cb84732d0305475e1a1524ba7f3c8898dac392e9,4e26116a6c044643,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1004.txt,True,5,val,7
blast_1005,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1005.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,373642,6b62396366cb8ceabea73ab791e1660d93c93b0a7c0e612c7279b00f85186016,4c2630680e044443,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1005.txt,True,6,train,8
blast_1006,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1006.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,383770,dbf4d0e3dde563f51cf732860fb156415e1ed7814bc259bfd70512f82d759a0b,4c26b448cd044443,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1006.txt,True,6,train,9
blast_1007,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1007.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,372509,997d2ffd5e800f73f4e8c2c068cad0759811419bf0d9f82250d0dd1ca3b7a585,cd64a41c9c494c43,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1007.txt,True,6,test,10
blast_1008,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1008.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,371204,5a623b9b1ccd9b08bcdce6877ea905af77c42ced85db9f44921f4f6f19e16848,d964a4143c494d43,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1008.txt,True,7,train,11
blast_1009,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1009.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,368930,d151714a3da2c1011b477e191cda44bf8677fa9092987dfd2a84d91e0c466159,894d200c78494d43,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1009.txt,True,5,train,12
blast_101,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_101.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,432510,0cf2f4eec64ef6373a217cd9e52a3056791853e944686a78909fbd1faa1fe721,31313193d7723130,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_101.txt,True,1,train,13
blast_1010,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1010.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,373467,f1fa7b3b6941c87fafc393eeb008ae1ea268695a154c1c3b00fd5c64a4ac1256,994d241838094d47,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1010.txt,True,5,train,14
blast_1011,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1011.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,379000,ad285124f009a889b48a937933586d43e56af635f36820fb0e5302dedacc4656,9944241c18084c47,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1011.txt,True,6,train,15
blast_1012,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1012.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,378706,ac8b77b6e7ff6096b92b2f8cbfff8db270cc6a478ba09411f42bfa3a544ea14f,4e2424cacc044643,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1012.txt,True,4,train,16
blast_1013,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1013.jpg,Blast,Blast,RiceLeafDiseaseBD,1024,1024,3,374423,b95c9f9fbd6a325ee5e3ecdf48b4800ce585782258ba5c43f3964af0744a97e1,4f25b2e6e4044643,True,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Annotated images ( visual with labels)/Blast/labels/blast_1013.txt,True,5,train,17
