image_id,image_path,mask_path,raw_class,canonical_class,dataset,is_matched_pair,usage,training_allowed,validation_allowed,calibration_allowed,threshold_optimization_allowed
BACTERAILBLIGHT3_001,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_001.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Bacterialblight/BACTERAILBLIGHT3_001.jpg,Bacterialblight,Bacterial Blight,RiceSeg5932,True,xai_ground_truth_only,False,False,False,False
BACTERAILBLIGHT3_002,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_002.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Bacterialblight/BACTERAILBLIGHT3_002.jpg,Bacterialblight,Bacterial Blight,RiceSeg5932,True,xai_ground_truth_only,False,False,False,False
BACTERAILBLIGHT3_003,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_003.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Bacterialblight/BACTERAILBLIGHT3_003.jpg,Bacterialblight,Bacterial Blight,RiceSeg5932,True,xai_ground_truth_only,False,False,False,False
BACTERAILBLIGHT3_004,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_004.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Bacterialblight/BACTERAILBLIGHT3_004.jpg,Bacterialblight,Bacterial Blight,RiceSeg5932,True,xai_ground_truth_only,False,False,False,False
BACTERAILBLIGHT3_005,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_005.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Bacterialblight/BACTERAILBLIGHT3_005.jpg,Bacterialblight,Bacterial Blight,RiceSeg5932,True,xai_ground_truth_only,False,False,False,False
BACTERAILBLIGHT3_006,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_006.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Bacterialblight/BACTERAILBLIGHT3_006.jpg,Bacterialblight,Bacterial Blight,RiceSeg5932,True,xai_ground_truth_only,False,False,False,False
BACTERAILBLIGHT3_007,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_007.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Bacterialblight/BACTERAILBLIGHT3_007.jpg,Bacterialblight,Bacterial Blight,RiceSeg5932,True,xai_ground_truth_only,False,False,False,False
BACTERAILBLIGHT3_008,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_008.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Bacterialblight/BACTERAILBLIGHT3_008.jpg,Bacterialblight,Bacterial Blight,RiceSeg5932,True,xai_ground_truth_only,False,False,False,False
BACTERAILBLIGHT3_009,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_009.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Bacterialblight/BACTERAILBLIGHT3_009.jpg,Bacterialblight,Bacterial Blight,RiceSeg5932,True,xai_ground_truth_only,False,False,False,False
BACTERAILBLIGHT3_010,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_010.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Bacterialblight/BACTERAILBLIGHT3_010.jpg,Bacterialblight,Bacterial Blight,RiceSeg5932,True,xai_ground_truth_only,False,False,False,False
