image_id,image_path,raw_class,canonical_class,dataset,width,height,channels,file_size,file_hash,dhash,is_valid_image,usage,training_allowed,validation_allowed,calibration_allowed,threshold_optimization_allowed
BACTERAILBLIGHT3_001,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_001.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,19723,44176ead560d5712fe3fb249eea463f3e704a0ae6115bbf33ee7a146ada4e84e,4ef8f8fae3a3f3d3,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_002,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_002.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,17976,32314fd3cb936cb18daeaf897e2f7ae1aab85d8386a7af7e9d40b41f2f0dfb39,34303830a0e0e00d,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_003,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_003.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,43100,faff87c499c16b34c3518e6f681da088c80f26861b4e225c73e78c7c43966ba9,de7a713dbecb6c76,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_004,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_004.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,40083,34d4368dcc36db27dc061ce63c585fdaf4a722972b820cf3438222af13b56b9b,91c92c824171a184,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_005,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_005.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,35480,95309e2163de6b7e793d7c633a73c6ac4df566be3126ff00a4aca00a3fc9ee7f,ccf6f3e9343a9ddd,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_006,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_006.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,32893,8c69cd8814b4a53179732f35104aa59fbb2366a3a5685299f030efac36ff40f2,4446a3d3683090cc,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_007,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_007.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,35924,ab69e91b3e589ee6c1f3803e3ff16fbf4c04fcbb474a04178d2763b2863dbdb6,c7875c1dfe272626,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_008,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_008.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,33498,f7d8a8a306988ccd09f6eb265051d4d58781d5fb442f0260d59b5463928eb8fc,9b9b1b8047c51e1c,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_009,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_009.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,33771,8109d9db5f659e1eab5a078e93f3399f3235f7cef87a7e6e37d61611da3fb93c,42e192da9cb7cbcc,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_010,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_010.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,31262,071f5676e64d2f746b2928cfb3b6234480feb1c518be56d26d72cb845ad90d5b,cc2c1282a4a67899,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_011,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_011.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,27460,bdb6d8656765bb8e2bf62a5ec18f31cd3c3194b8290b93aaa4412d30516e9ae3,6363b0260b0a9b9d,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_012,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_012.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,25492,d5ac3e49ad62644f4842c1f5983aa3f06a7c53bb4fe35f49b411978420d32ed1,4626ad2f9bf03939,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_013,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_013.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,27460,375fa21c0aef894258f8ba416a5e6fe06ba16f5234dfa7fe21a02d0652ad9d9e,6363b0260b0a9b9d,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_014,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_014.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,25492,a4d3d184d9de4b3be36ef75c774c4a4a914cc9bc73666f6baa290d371f39fc41,4626ad2f9bf03939,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_015,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_015.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,19723,a4d8b29f114808da91fa8451ea417fa9f18095253cda94db0986e129841c5f54,4ef8f8fae3a3f3d3,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_016,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_016.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,17976,e29071877522dad1cb3894668a7e830b9deb14cab922e381cf392cb0fcf15756,34303830a0e0e00d,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_017,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_017.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,43102,9f6516331b2210afa96590b1248e5936ca683c61b08545da3ffab16dac85ad55,91c92c824171a184,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_018,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_018.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,40141,eca014d790741ed6203b78a189c23db67589b7572dc6b092fef89d8eba2910c0,de7a713dbecb6c76,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_019,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_019.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,35480,6f633cb4054e1cb8c8e0c7bcd0f0e1ab122da0f0deea1446ecde81d2889da600,ccf6f3e9343a9ddd,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_020,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_020.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,32893,104cdf0109a6354858b61786cacdda5ab6f11ce12bc92511e0a0b6f4fb871075,4446a3d3683090cc,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_021,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_021.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,28814,93c03666d4e600edff004efbaddc7e8c7baa7745da3a6f681aa0b257b28e0196,66e4dd9030f4c586,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_022,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_022.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,26960,315765580772b99585890cfcfb18b15369af47a4365c90bbdf634d12bc9928c5,9e5cd0f3f644d899,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_023,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_023.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,19839,c61f88f89b27f8f064f3747d72bdd295327b74e245011e881eef719ee4758738,7276f2e0e0e8e2c1,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_024,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_024.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,18088,27f5051267eb63aa9a5eec6cc3c53f4636507e2e1818d9076434c0ea27091049,7cb8e8e8b0b09191,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_025,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_025.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,27273,bcc3d60af1ca504c43dca8036a42331352b89bce42ab592b2d67117f492e272a,66666d60e2a62660,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_026,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_026.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,33519,8d7a7fc635c7c909b5cc5ea1562d1bf4aa8e358fb5aaa545a0ce5caf02bf3dfb,ce9e9f9f1d393939,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_027,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_027.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,30596,9b409620aa78200b3e9d112c69d8313b9642ef1a2d97017d84d3c141af7af007,636303070606868c,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_028,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_028.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,35215,bf51019d35a2cefa360fc89358164e1273cbdaa2017078f1e41b223bed2a9c5b,76f6f6f6fae2b332,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_029,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_029.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,34324,67d1dad91b3cbb1e4308559a4e1ae0545cdbab7492cdf999cbc149eee16e3992,32b3e2faf6f6f676,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_030,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_030.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,29004,4cf17f454494f60796e679357faa2d902d5783b6d5466a6c1eaa2d4e2318e275,b3f9d9d9d9e38393,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_031,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_031.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,26583,10cd3ffa41b17e4309568f8c08a94041e735a347feb2e1fa67c761495c634eca,363e386464646032,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_032,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_032.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,30803,7f6401e89b9b276f4007dfe955edbdaf213b52c848ce162c25a030173b075725,999991bbbcb8313b,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_033,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_033.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,28141,cf522407571419ad05f2b902f66ba39fc660e5bbb8eb866e44038ce65f7429ab,2272e2c222766666,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_034,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_034.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,31237,237ebe0fbd40cf710ca129bf33652a5b232a146d40cb7d1b85f2a5faa92973d8,ceceef753121a325,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_035,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_035.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,29127,36f6d2fe0c30ef1022ea17862f89404f13215a9ab6eb829c817b62567f1ece9c,5b2a7b7351088c8c,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_036,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_036.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,26015,375c9aa2e016be187ec91e3bd2c1b1e81c89b8130e18674fb3166dae383a777b,02b6bcfefe2c0c0d,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_037,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_037.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,24924,3dfe7dd93d8da3a9f6d571493a2ab057d235a2d67f5968c27cec537f5f7229e5,9f92c28080cbcf4f,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_038,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_038.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,37987,a7ce595072161b0ce8459a7a18c22f5ebba128db11af5d00f37dacf3fc4c0c7d,860d393365cf8ee2,True,external_test_only,False,False,False,False
BACTERAILBLIGHT3_039,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Bacterialblight/BACTERAILBLIGHT3_039.jpg,Bacterialblight,Bacterial Blight,Sethy5932,300,300,3,35297,1f5f13d0609ba0d78f09b73916134a2c667246148b281d5e93456b1a3b3a23a6,b88e0c0933634f9e,True,external_test_only,False,False,False,False
