type,dataset_a,image_a,class_a,dataset_b,image_b,class_b,similarity_metric,is_cross_dataset
EXACT_SHA256,Primary,blast_2,Blast,Primary,Rice Tungro_5,Tungro,sha256_match,False
EXACT_SHA256,Primary,blast_50,Blast,Primary,blast_51,Blast,sha256_match,False
EXACT_SHA256,Primary,blast_55,Blast,Primary,blast_56,Blast,sha256_match,False
EXACT_SHA256,Primary,brown spot_68,Brown Spot,Primary,Healthy_48,Healthy,sha256_match,False
EXACT_SHA256,Primary,brown spot_9,Brown Spot,Primary,Leaf smut_16,Leaf Smut,sha256_match,False
EXACT_SHA256,Primary,Healthy_514,Healthy,Primary,Healthy_515,Healthy,sha256_match,False
EXACT_SHA256,Primary,Leaf smut_12,Leaf Smut,Primary,Leaf smut_13,Leaf Smut,sha256_match,False
EXACT_SHA256,Primary,Leaf smut_14,Leaf Smut,Primary,Leaf smut_15,Leaf Smut,sha256_match,False
EXACT_SHA256,Primary,Rice Tungro_1,Tungro,Primary,Sheath blight_3,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Rice Tungro_2,Tungro,Primary,Sheath blight_10,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Rice Tungro_3,Tungro,Primary,Sheath blight_25,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Rice Tungro_4,Tungro,Primary,Sheath blight_29,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Rice Tungro_6,Tungro,Primary,Sheath blight_35,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_19,Sheath Blight,Primary,Sheath blight_20,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_207,Sheath Blight,Primary,Sheath blight_208,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_209,Sheath Blight,Primary,Sheath blight_210,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_211,Sheath Blight,Primary,Sheath blight_212,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_213,Sheath Blight,Primary,Sheath blight_214,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_215,Sheath Blight,Primary,Sheath blight_216,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_217,Sheath Blight,Primary,Sheath blight_218,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_219,Sheath Blight,Primary,Sheath blight_220,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_221,Sheath Blight,Primary,Sheath blight_222,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_223,Sheath Blight,Primary,Sheath blight_224,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_225,Sheath Blight,Primary,Sheath blight_226,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_227,Sheath Blight,Primary,Sheath blight_228,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_229,Sheath Blight,Primary,Sheath blight_230,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_231,Sheath Blight,Primary,Sheath blight_232,Sheath Blight,sha256_match,False
