epoch,train_loss,val_loss,train_acc,val_acc,train_macro_precision,val_macro_precision,train_macro_recall,val_macro_recall,train_macro_f1,val_macro_f1,lr,epoch_duration_seconds,total_duration_seconds,gpu_memory_peak_mb
1,1.0908,0.6305,0.6033,0.7625,0.5557,0.7272,0.5389,0.7068,0.529,0.6985,0.000100,318.86,318.86,814.52
2,0.6327,0.4739,0.7727,0.8375,0.75,0.811,0.7272,0.8252,0.7314,0.8164,0.000099,266.67,585.86,814.52
3,0.5195,0.4275,0.8207,0.8573,0.8038,0.8372,0.7927,0.8426,0.7968,0.8374,0.000098,264.17,850.28,814.52
4,0.4299,0.4,0.8521,0.8696,0.8405,0.8521,0.8336,0.8522,0.8364,0.8509,0.000095,264.6,1115.16,814.52
5,0.3799,0.3967,0.8675,0.873,0.8546,0.8654,0.8508,0.8535,0.8525,0.8549,0.000091,266.06,1381.47,814.52
6,0.319,0.4153,0.8907,0.8792,0.8781,0.8665,0.8766,0.8594,0.8773,0.8602,0.000086,265.9,1647.62,814.52
7,0.2772,0.3808,0.9033,0.8846,0.896,0.8701,0.8913,0.8767,0.8934,0.8725,0.000080,265.47,1913.35,814.52
8,0.24,0.4006,0.9178,0.873,0.9082,0.8587,0.9078,0.8572,0.908,0.8559,0.000073,266.11,2179.73,814.52
9,0.2206,0.3891,0.9247,0.8799,0.9178,0.8613,0.9157,0.8628,0.9167,0.8616,0.000066,267.66,2447.52,814.52
10,0.1984,0.3961,0.9308,0.8922,0.9259,0.879,0.9222,0.8722,0.9239,0.8749,0.000058,316.5,2764.14,814.52
11,0.1724,0.4269,0.9374,0.884,0.9331,0.8675,0.931,0.8724,0.932,0.8684,0.000051,266.58,3031.0,814.52
12,0.1609,0.3945,0.9463,0.8894,0.943,0.8725,0.9395,0.8761,0.9412,0.8733,0.000043,266.43,3297.55,814.52
13,0.1333,0.4024,0.9566,0.8922,0.9514,0.8778,0.9511,0.8796,0.9512,0.8776,0.000035,268.05,3565.75,814.52
14,0.1386,0.3977,0.9533,0.8874,0.9505,0.865,0.9486,0.8776,0.9495,0.8702,0.000028,267.82,3833.85,814.52
15,0.1184,0.4136,0.9604,0.8887,0.9572,0.8722,0.956,0.877,0.9565,0.8736,0.000021,266.41,4100.38,814.52
16,0.1173,0.4054,0.9623,0.8853,0.9608,0.8666,0.9588,0.8731,0.9598,0.8691,0.000015,265.19,4365.69,814.52
17,0.1057,0.4245,0.9643,0.8901,0.9619,0.8741,0.9612,0.8748,0.9616,0.8736,0.000010,283.6,4649.42,814.52
18,0.101,0.4175,0.9669,0.8942,0.9646,0.8777,0.9622,0.8796,0.9634,0.8776,0.000006,265.44,4914.99,814.52
