confidence_threshold,top_k,precision,recall,f1,mean_matched_iou,median_matched_iou,healthy_false_positive_rate,total_predicted_boxes,avg_predicted_boxes_per_image
0.10,3,0.0736,0.0928,0.0821,0.6373,0.6195,57.81%,3979,2.72
0.15,3,0.0752,0.0928,0.0830,0.6373,0.6195,47.68%,3898,2.66
0.20,3,0.0764,0.0928,0.0838,0.6373,0.6195,38.82%,3837,2.62
0.25,3,0.0772,0.0928,0.0843,0.6373,0.6195,33.33%,3796,2.59
0.30,3,0.0782,0.0928,0.0849,0.6373,0.6195,30.38%,3746,2.56
0.35,3,0.0796,0.0928,0.0857,0.6373,0.6195,27.85%,3679,2.51
0.40,3,0.0801,0.0921,0.0857,0.6374,0.6195,25.32%,3633,2.48
0.45,3,0.0816,0.0921,0.0865,0.6374,0.6195,23.21%,3568,2.44
0.50,3,0.0819,0.0906,0.0860,0.6393,0.6204,19.83%,3490,2.38
0.55,3,0.0837,0.0899,0.0867,0.6392,0.6204,16.46%,3394,2.32
0.60,3,0.0852,0.0887,0.0869,0.6401,0.6216,14.77%,3285,2.24
0.65,3,0.0860,0.0849,0.0854,0.6415,0.6227,14.35%,3116,2.13
0.70,3,0.0884,0.0814,0.0847,0.6421,0.6236,12.24%,2908,1.98
0.75,3,0.0911,0.0763,0.0831,0.6433,0.6237,10.97%,2644,1.80
0.80,3,0.0962,0.0687,0.0802,0.6458,0.6257,8.86%,2256,1.54
0.10,5,0.0509,0.1042,0.0684,0.6319,0.6143,57.81%,6465,4.41
0.15,5,0.0522,0.1042,0.0696,0.6319,0.6143,47.68%,6301,4.30
0.20,5,0.0534,0.1042,0.0706,0.6319,0.6143,38.82%,6162,4.21
0.25,5,0.0542,0.1035,0.0711,0.6320,0.6143,33.33%,6037,4.12
0.30,5,0.0553,0.1029,0.0719,0.6324,0.6154,30.38%,5879,4.01
0.35,5,0.0565,0.1023,0.0728,0.6325,0.6154,27.85%,5712,3.90
0.40,5,0.0572,0.1010,0.0730,0.6329,0.6154,25.32%,5576,3.81
0.45,5,0.0590,0.1007,0.0744,0.6333,0.6155,23.21%,5389,3.68
0.50,5,0.0604,0.0988,0.0750,0.6354,0.6179,19.83%,5166,3.53
0.55,5,0.0622,0.0969,0.0758,0.6363,0.6194,16.46%,4918,3.36
0.60,5,0.0655,0.0953,0.0776,0.6370,0.6200,14.77%,4597,3.14
0.65,5,0.0663,0.0890,0.0760,0.6393,0.6211,14.35%,4236,2.89
0.70,5,0.0693,0.0842,0.0761,0.6405,0.6234,12.24%,3837,2.62
0.75,5,0.0741,0.0792,0.0765,0.6416,0.6237,10.97%,3374,2.30
0.80,5,0.0793,0.0712,0.0751,0.6443,0.6257,8.86%,2838,1.94
0.10,10,0.0310,0.1159,0.0489,0.6272,0.6067,57.81%,11814,8.06
0.15,10,0.0325,0.1153,0.0507,0.6275,0.6067,47.68%,11194,7.64
0.20,10,0.0342,0.1149,0.0527,0.6272,0.6065,38.82%,10616,7.25
0.25,10,0.0356,0.1137,0.0542,0.6277,0.6069,33.33%,10086,6.88
0.30,10,0.0372,0.1121,0.0558,0.6285,0.6082,30.38%,9525,6.50
0.35,10,0.0391,0.1105,0.0577,0.6292,0.6130,27.85%,8936,6.10
0.40,10,0.0410,0.1089,0.0596,0.6297,0.6132,25.32%,8382,5.72
0.45,10,0.0432,0.1067,0.0615,0.6310,0.6138,23.21%,7809,5.33
0.50,10,0.0446,0.1026,0.0621,0.6342,0.6163,19.83%,7270,4.96
0.55,10,0.0474,0.1004,0.0644,0.6354,0.6183,16.46%,6682,4.56
0.60,10,0.0510,0.0975,0.0670,0.6371,0.6201,14.77%,6035,4.12
0.65,10,0.0532,0.0912,0.0672,0.6393,0.6216,14.35%,5418,3.70
0.70,10,0.0574,0.0864,0.0690,0.6405,0.6236,12.24%,4752,3.24
0.75,10,0.0627,0.0807,0.0706,0.6411,0.6237,10.97%,4065,2.77
0.80,10,0.0686,0.0725,0.0705,0.6436,0.6257,8.86%,3338,2.28
0.10,unlimited,0.0199,0.1232,0.0343,0.6253,0.6062,57.81%,19550,13.34
0.15,unlimited,0.0227,0.1206,0.0382,0.6252,0.6060,47.68%,16773,11.45
0.20,unlimited,0.0255,0.1197,0.0421,0.6251,0.6055,38.82%,14808,10.11
0.25,unlimited,0.0280,0.1175,0.0452,0.6259,0.6061,33.33%,13241,9.04
0.30,unlimited,0.0303,0.1143,0.0479,0.6274,0.6065,30.38%,11909,8.13
0.35,unlimited,0.0327,0.1115,0.0505,0.6285,0.6082,27.85%,10780,7.36
0.40,unlimited,0.0353,0.1099,0.0535,0.6290,0.6087,25.32%,9822,6.70
0.45,unlimited,0.0381,0.1073,0.0563,0.6305,0.6134,23.21%,8888,6.07
0.50,unlimited,0.0402,0.1029,0.0578,0.6339,0.6155,19.83%,8084,5.52
0.55,unlimited,0.0438,0.1007,0.0610,0.6351,0.6177,16.46%,7261,4.96
0.60,unlimited,0.0478,0.0978,0.0643,0.6368,0.6200,14.77%,6458,4.41
0.65,unlimited,0.0507,0.0912,0.0652,0.6393,0.6216,14.35%,5682,3.88
0.70,unlimited,0.0555,0.0864,0.0676,0.6405,0.6236,12.24%,4920,3.36
0.75,unlimited,0.0612,0.0807,0.0696,0.6411,0.6237,10.97%,4168,2.85
0.80,unlimited,0.0675,0.0725,0.0699,0.6436,0.6257,8.86%,3395,2.32
