confidence_threshold,precision,recall,f1,mean_matched_iou,median_matched_iou,healthy_false_positive_rate,total_predicted_boxes,avg_predicted_boxes_per_image
0.10,0.0199,0.1232,0.0343,0.6253,0.6062,57.81%,19550,13.34
0.15,0.0227,0.1206,0.0382,0.6252,0.6060,47.68%,16773,11.45
0.20,0.0255,0.1197,0.0421,0.6251,0.6055,38.82%,14808,10.11
0.25,0.0280,0.1175,0.0452,0.6259,0.6061,33.33%,13241,9.04
0.30,0.0303,0.1143,0.0479,0.6274,0.6065,30.38%,11909,8.13
0.35,0.0327,0.1115,0.0505,0.6285,0.6082,27.85%,10780,7.36
0.40,0.0353,0.1099,0.0535,0.6290,0.6087,25.32%,9822,6.70
0.45,0.0381,0.1073,0.0563,0.6305,0.6134,23.21%,8888,6.07
0.50,0.0402,0.1029,0.0578,0.6339,0.6155,19.83%,8084,5.52
0.55,0.0438,0.1007,0.0610,0.6351,0.6177,16.46%,7261,4.96
0.60,0.0478,0.0978,0.0643,0.6368,0.6200,14.77%,6458,4.41
0.65,0.0507,0.0912,0.0652,0.6393,0.6216,14.35%,5682,3.88
0.70,0.0555,0.0864,0.0676,0.6405,0.6236,12.24%,4920,3.36
0.75,0.0612,0.0807,0.0696,0.6411,0.6237,10.97%,4168,2.85
0.80,0.0675,0.0725,0.0699,0.6436,0.6257,8.86%,3395,2.32
