epoch,train_loss,train_loss_cls,train_loss_loc,train_loss_obj,train_loss_box,val_loss,val_loss_cls,val_loss_loc,train_acc,val_acc,train_macro_f1,val_macro_f1,val_loc_precision,val_loc_recall,val_loc_f1,lr
1,0.36059386395571524,0.22986633896130568,0.5229101008839078,0.41417458799847384,0.10873551282007791,0.5784879436276084,0.44546328946624114,0.5320986168023766,0.927,0.8826,0.9208,0.8629,0.0325,0.088,0.0474,0.0001
2,0.2872669154353309,0.16349081381806854,0.4951044055802083,0.39183993085086,0.10326447437206904,0.613692527720401,0.4811353050172329,0.5302288949175779,0.9462,0.8662,0.9417,0.8432,0.0361,0.088,0.0512,9.831332840130888e-05
3,0.23287639568249385,0.11426576178368421,0.4744425329374291,0.37382813747863325,0.10061439477473672,0.6337069926084951,0.5015851912777061,0.5284872060216478,0.9672,0.8778,0.9653,0.8585,0.0328,0.1001,0.0494,9.336825748732972e-05
4,0.20835414897454413,0.09457453517624509,0.4551184547052049,0.3581093625018471,0.0970090921990007,0.6475830425612081,0.5169782169649134,0.5224192924291381,0.9712,0.8799,0.9699,0.8592,0.0435,0.1105,0.0625,8.55017856687341e-05
5,0.23271968980804522,0.12054286552102943,0.4487072952309547,0.3532726712394179,0.0954346244490286,0.5797163523650101,0.4521561016369125,0.5102409944064794,0.958,0.884,0.9545,0.8641,0.04,0.1029,0.0576,7.525e-05
6,0.18891403252008365,0.08233967972102395,0.42629741158401757,0.3350584141430799,0.09123899724922682,0.5693108289801192,0.4425669497931781,0.5069755170767641,0.9753,0.8833,0.972,0.8654,0.0429,0.1048,0.0609,6.331154273257477e-05
7,0.1699642753304794,0.06717871797015096,0.4111422287093269,0.3227888396260334,0.08835338886544021,0.5757913970611179,0.45028683437925315,0.5020182588790625,0.9785,0.8922,0.9774,0.8729,0.0407,0.1042,0.0585,5.0499999999999994e-05
8,0.15032377082266304,0.053035263712817464,0.3891540280036759,0.30398293310090113,0.08517109444964002,0.6011669458720185,0.4766802176347245,0.49794691687186615,0.9813,0.8833,0.9804,0.8661,0.0447,0.1121,0.0639,3.768845726742522e-05
9,0.133318845370011,0.04074813849755634,0.3702828275007114,0.2873091181206424,0.0829737093343198,0.5956382966554805,0.47194901602747646,0.4947571257412758,0.9871,0.8908,0.9864,0.8719,0.046,0.1108,0.065,2.575000000000001e-05
10,0.12514397363826546,0.035536265519191645,0.35843083272029086,0.27812519315739126,0.08030563975896751,0.6168113349963475,0.4898674322049255,0.5077756176292694,0.9895,0.8908,0.9894,0.8717,0.0429,0.0982,0.0597,1.54982143312659e-05
11,0.11658393836509415,0.02996504321443843,0.3464755803695199,0.2676936644995422,0.07878191593533371,0.5940904209539598,0.46779117482187954,0.5051969802133618,0.9915,0.8819,0.9905,0.8609,0.0497,0.1089,0.0683,7.631742512670284e-06
