sample_idx,image_path,canonical_class,gt_class_idx,phase2b_pred_class,phase2b_pred_idx,phase2b_conf,phase2b_correct,phase3b_pred_class,phase3b_pred_idx,phase3b_conf,phase3b_correct,category,num_gt_boxes,num_pred_boxes,max_matched_iou,has_tp_box,is_healthy_fp,is_lesion_miss,is_high_conf_poor_loc,is_good_loc_bad_cls
0,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1002.jpg,Blast,1,Healthy,0,0.9999548196792603,0,Healthy,0,0.9702206254005432,0,mutual_errors,6,0,0.0,False,False,True,True,False
1,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1003.jpg,Blast,1,Healthy,0,0.9995129108428955,0,Healthy,0,0.9905120730400085,0,mutual_errors,6,0,0.0,False,False,True,True,False
2,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1007.jpg,Blast,1,Healthy,0,0.999743640422821,0,Healthy,0,0.9935232400894165,0,mutual_errors,6,0,0.0,False,False,True,True,False
3,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1026.jpg,Blast,1,Healthy,0,0.9998289346694946,0,Healthy,0,0.9946320056915283,0,mutual_errors,2,0,0.0,False,False,True,True,False
4,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1029.jpg,Blast,1,Healthy,0,0.9993454813957214,0,Healthy,0,0.9907848834991455,0,mutual_errors,3,0,0.0,False,False,True,True,False
5,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_103.jpg,Blast,1,Healthy,0,0.9997014403343201,0,Healthy,0,0.9978511333465576,0,mutual_errors,4,0,0.0,False,False,True,True,False
6,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1035.jpg,Blast,1,Healthy,0,0.9989400506019592,0,Healthy,0,0.9994545578956604,0,mutual_errors,3,0,0.0,False,False,True,True,False
7,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1039.jpg,Blast,1,Healthy,0,0.9984691739082336,0,Healthy,0,0.9982367753982544,0,mutual_errors,5,0,0.0,False,False,True,True,False
8,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1042.jpg,Blast,1,Healthy,0,0.9987081289291382,0,Healthy,0,0.9987731575965881,0,mutual_errors,5,0,0.0,False,False,True,True,False
9,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1051.jpg,Blast,1,Healthy,0,0.9948300719261169,0,Healthy,0,0.9972923398017883,0,mutual_errors,4,0,0.0,False,False,True,True,False
10,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1053.jpg,Blast,1,Healthy,0,0.9948840737342834,0,Healthy,0,0.994631290435791,0,mutual_errors,3,0,0.0,False,False,True,True,False
11,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1058.jpg,Blast,1,Healthy,0,0.996436357498169,0,Healthy,0,0.9919752478599548,0,mutual_errors,4,0,0.0,False,False,True,True,False
12,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1072.jpg,Blast,1,Healthy,0,0.9991872906684875,0,Healthy,0,0.9945264458656311,0,mutual_errors,4,0,0.0,False,False,True,True,False
13,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1073.jpg,Blast,1,Healthy,0,0.9990599751472473,0,Healthy,0,0.996496856212616,0,mutual_errors,9,0,0.0,False,False,True,True,False
14,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1076.jpg,Blast,1,Healthy,0,0.9873194694519043,0,Healthy,0,0.99852055311203,0,mutual_errors,4,0,0.0,False,False,True,True,False
15,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_108.jpg,Blast,1,Healthy,0,0.9999539852142334,0,Healthy,0,0.9142495393753052,0,mutual_errors,2,0,0.0,False,False,True,True,False
16,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1081.jpg,Blast,1,Healthy,0,0.9942324757575989,0,Healthy,0,0.9991142153739929,0,mutual_errors,3,0,0.0,False,False,True,True,False
17,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1085.jpg,Blast,1,Healthy,0,0.9968854784965515,0,Healthy,0,0.9987170696258545,0,mutual_errors,8,0,0.0,False,False,True,True,False
18,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1098.jpg,Blast,1,Healthy,0,0.9983596205711365,0,Healthy,0,0.9904273748397827,0,mutual_errors,2,0,0.0,False,False,True,True,False
19,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1107.jpg,Blast,1,Healthy,0,0.999381422996521,0,Healthy,0,0.9754703640937805,0,mutual_errors,8,0,0.0,False,False,True,True,False
20,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1108.jpg,Blast,1,Healthy,0,0.9957019686698914,0,Healthy,0,0.981562077999115,0,mutual_errors,9,0,0.0,False,False,True,True,False
21,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1115.jpg,Blast,1,Healthy,0,0.9994630217552185,0,Brown Spot,2,0.6979048848152161,0,mutual_errors,7,0,0.0,False,False,True,False,False
22,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1121.jpg,Blast,1,Healthy,0,0.9999547004699707,0,Blast,1,0.8624674677848816,1,multitask_wins,4,0,0.0,False,False,True,True,False
23,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1128.jpg,Blast,1,Healthy,0,0.9999245405197144,0,Blast,1,0.8630743622779846,1,multitask_wins,2,0,0.0,False,False,True,True,False
24,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1155.jpg,Blast,1,Healthy,0,0.9794418811798096,0,Healthy,0,0.9990725517272949,0,mutual_errors,8,0,0.0,False,False,True,True,False
25,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1156.jpg,Blast,1,Healthy,0,0.9767098426818848,0,Healthy,0,0.998916506767273,0,mutual_errors,8,0,0.0,False,False,True,True,False
26,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_116.jpg,Blast,1,Healthy,0,0.9999078512191772,0,Healthy,0,0.9929071664810181,0,mutual_errors,1,0,0.0,False,False,True,True,False
27,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1166.jpg,Blast,1,Healthy,0,0.9793729186058044,0,Healthy,0,0.9989981055259705,0,mutual_errors,8,0,0.0,False,False,True,True,False
28,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1177.jpg,Blast,1,Healthy,0,0.9978452920913696,0,Healthy,0,0.9989141225814819,0,mutual_errors,3,0,0.0,False,False,True,True,False
29,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1179.jpg,Blast,1,Healthy,0,0.9977350234985352,0,Healthy,0,0.9992721676826477,0,mutual_errors,3,0,0.0,False,False,True,True,False
30,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_118.jpg,Blast,1,Healthy,0,0.9999639987945557,0,Blast,1,0.9645610451698303,1,multitask_wins,1,3,0.026832046730375356,False,False,True,True,False
31,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1183.jpg,Blast,1,Healthy,0,0.9999871253967285,0,Blast,1,0.9619163274765015,1,multitask_wins,5,3,0.0,False,False,True,True,False
32,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1191.jpg,Blast,1,Healthy,0,0.9999550580978394,0,Brown Spot,2,0.9987919926643372,0,mutual_errors,1,0,0.0,False,False,True,True,False
33,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1200.jpg,Blast,1,Healthy,0,0.9997323155403137,0,Healthy,0,0.9897900223731995,0,mutual_errors,2,0,0.0,False,False,True,True,False
34,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1204.jpg,Blast,1,Healthy,0,0.9997727274894714,0,Blast,1,0.7343814373016357,1,multitask_wins,2,0,0.0,False,False,True,False,False
35,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1209.jpg,Blast,1,Healthy,0,0.9983704686164856,0,Brown Spot,2,0.9999912977218628,0,mutual_errors,3,0,0.0,False,False,True,True,False
36,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1214.jpg,Blast,1,Healthy,0,0.9914062023162842,0,Healthy,0,0.5885322093963623,0,mutual_errors,1,3,0.029164895469644347,False,False,True,False,False
37,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_123.jpg,Blast,1,Healthy,0,0.9997678399085999,0,Blast,1,0.9911708235740662,1,multitask_wins,2,3,0.0,False,False,True,True,False
38,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1235.jpg,Blast,1,Healthy,0,0.9996199607849121,0,Healthy,0,0.9478803873062134,0,mutual_errors,5,0,0.0,False,False,True,True,False
39,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1237.jpg,Blast,1,Healthy,0,0.9985929131507874,0,Healthy,0,0.9729337096214294,0,mutual_errors,3,0,0.0,False,False,True,True,False
40,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1238.jpg,Blast,1,Healthy,0,0.9991697072982788,0,Healthy,0,0.9475860595703125,0,mutual_errors,4,0,0.0,False,False,True,True,False
41,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1254.jpg,Blast,1,Healthy,0,0.9989460110664368,0,Healthy,0,0.955098569393158,0,mutual_errors,6,0,0.0,False,False,True,True,False
42,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1265.jpg,Blast,1,Healthy,0,0.993665337562561,0,Healthy,0,0.9951508045196533,0,mutual_errors,5,0,0.0,False,False,True,True,False
43,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_127.jpg,Blast,1,Healthy,0,0.9999182224273682,0,Healthy,0,0.8389367461204529,0,mutual_errors,2,0,0.0,False,False,True,True,False
44,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1272.jpg,Blast,1,Healthy,0,0.9998903274536133,0,Blast,1,0.7453976273536682,1,multitask_wins,6,3,0.0,False,False,True,False,False
45,RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD A Field-Based Annotated Smartpho/RiceLeafDiseaseBD/Original images/Blast/blast_1284.jpg,Blast,1,Healthy,0,0.9979633092880249,0,Healthy,0,0.9962761402130127,0,mutual_errors,7,0,0.0,False,False,True,True,False
